"","time","hr"
"24843",2018-10-07 16:19:00,67
"24844",2018-10-07 16:20:00,64
"24845",2018-10-07 16:21:00,75
"24846",2018-10-07 16:22:00,68
"24847",2018-10-07 16:23:00,71
"24848",2018-10-07 16:24:00,68
"24849",2018-10-07 16:25:00,64
"24850",2018-10-07 16:26:00,64
"24851",2018-10-07 16:27:00,64
"24852",2018-10-07 16:28:00,64
"24853",2018-10-07 16:29:00,64
"24854",2018-10-07 16:30:00,65
"24855",2018-10-07 16:31:00,88
"24856",2018-10-07 16:32:00,60
"24857",2018-10-07 16:33:00,62
"24858",2018-10-07 16:34:00,64
"24859",2018-10-07 16:35:00,82
"24860",2018-10-07 16:36:00,63
"24861",2018-10-07 16:37:00,65
"24862",2018-10-07 16:38:00,94
"24863",2018-10-07 16:39:00,64
"24864",2018-10-07 16:40:00,93
"24865",2018-10-07 16:41:00,69
"24866",2018-10-07 16:42:00,80
"24867",2018-10-07 16:43:00,74
"24868",2018-10-07 16:44:00,67
"24869",2018-10-07 16:45:00,69
"24870",2018-10-07 16:46:00,83
"24871",2018-10-07 16:47:00,68
"24872",2018-10-07 16:48:00,66
"24873",2018-10-07 16:49:00,64
"24874",2018-10-07 16:50:00,80
"24875",2018-10-07 16:51:00,95
"24876",2018-10-07 16:52:00,74
"24877",2018-10-07 16:53:00,87
"24878",2018-10-07 16:54:00,67
"24879",2018-10-07 16:55:00,83
"24880",2018-10-07 16:56:00,79
"24881",2018-10-07 16:57:00,75
"24882",2018-10-07 16:58:00,75
"24883",2018-10-07 16:59:00,75
"24884",2018-10-07 17:00:00,64
"24885",2018-10-07 17:01:00,76
"24886",2018-10-07 17:02:00,75
"24887",2018-10-07 17:03:00,58
"24888",2018-10-07 17:04:00,58
"24889",2018-10-07 17:05:00,55
"24890",2018-10-07 17:06:00,56
"24891",2018-10-07 17:07:00,61
"24892",2018-10-07 17:08:00,57
"24893",2018-10-07 17:09:00,78
"24894",2018-10-07 17:10:00,80
"24895",2018-10-07 17:11:00,63
"24896",2018-10-07 17:12:00,63
"24897",2018-10-07 17:13:00,63
"24898",2018-10-07 17:14:00,64
"24899",2018-10-07 17:15:00,65
"24900",2018-10-07 17:16:00,70
"24901",2018-10-07 17:17:00,62
"24902",2018-10-07 17:18:00,63
"24903",2018-10-07 17:19:00,59
"24904",2018-10-07 17:20:00,60
"24905",2018-10-07 17:21:00,60
"24906",2018-10-07 17:22:00,59
"24907",2018-10-07 17:23:00,63
