"time","hr"
2018-09-29 17:39:00,103
2018-09-29 17:40:00,106
2018-09-29 17:41:00,102
2018-09-29 17:42:00,79
2018-09-29 17:43:00,88
2018-09-29 17:44:00,99
2018-09-29 17:46:00,99
2018-09-29 17:47:00,75
2018-09-29 17:47:06,77
2018-09-29 17:49:00,74
2018-09-29 17:50:00,83
2018-09-29 17:52:00,72
2018-09-29 17:53:00,73
2018-09-29 17:54:00,75
2018-09-29 17:55:00,86
2018-09-29 17:56:00,91
2018-09-29 17:57:00,72
2018-09-29 17:58:00,83
2018-09-29 17:59:00,72
2018-09-29 18:00:00,70
2018-09-29 18:01:00,67
2018-09-29 18:02:00,68
2018-09-29 18:03:00,65
2018-09-29 18:04:00,83
2018-09-29 18:05:00,63
2018-09-29 18:06:00,64
2018-09-29 18:07:00,67
2018-09-29 18:08:00,71
2018-09-29 18:09:00,75
2018-09-29 18:10:00,70
2018-09-29 18:11:00,70
2018-09-29 18:12:00,63
2018-09-29 18:13:00,65
2018-09-29 18:14:00,68
2018-09-29 18:15:00,70
2018-09-29 18:16:00,70
2018-09-29 18:17:00,58
2018-09-29 18:18:00,63
2018-09-29 18:19:00,99
2018-09-29 18:21:00,72
2018-09-29 18:22:00,63
2018-09-29 18:23:00,67
2018-09-29 18:24:00,70
2018-09-29 18:25:00,76
2018-09-29 18:26:00,63
2018-09-29 18:27:00,78
2018-09-29 18:28:00,78
2018-09-29 18:29:00,77
2018-09-29 18:30:00,91
2018-09-29 18:31:00,81
2018-09-29 18:32:00,78
2018-09-29 18:33:00,75
2018-09-29 18:34:00,68
2018-09-29 18:35:00,68
2018-09-29 18:36:00,65
2018-09-29 18:37:00,67
2018-09-29 18:38:00,89
2018-09-29 18:39:00,70
2018-09-29 18:40:00,63
2018-09-29 18:41:00,63
2018-09-29 18:42:00,68
2018-09-29 18:43:00,63
2018-09-29 18:44:00,76
2018-09-29 18:45:00,54
2018-09-29 18:46:00,63
2018-09-29 18:47:00,71
2018-09-29 18:48:00,69
2018-09-29 18:49:00,63
2018-09-29 18:50:00,76
2018-09-29 18:51:00,68
2018-09-29 18:52:00,61
2018-09-29 18:53:00,66
2018-09-29 18:54:00,68
2018-09-29 18:55:00,81
2018-09-29 18:56:00,64
2018-09-29 18:57:00,62
2018-09-29 18:58:00,63
2018-09-29 18:59:00,64
2018-09-29 19:00:00,74
2018-09-29 19:01:00,65
2018-09-29 19:02:00,65
2018-09-29 19:03:00,98
2018-09-29 19:04:00,68
2018-09-29 19:05:00,66
2018-09-29 19:06:00,67
2018-09-29 19:07:00,71
2018-09-29 19:08:00,64
2018-09-29 19:09:00,69
2018-09-29 19:10:00,86
2018-09-29 19:11:00,71
2018-09-29 19:13:00,80
2018-09-29 19:14:00,89
2018-09-29 19:15:00,73
2018-09-29 19:16:00,71
2018-09-29 19:17:00,79
2018-09-29 19:18:00,65
2018-09-29 19:19:00,70
2018-09-29 19:20:00,86
2018-09-29 19:21:00,77
2018-09-29 19:22:00,67
2018-09-29 19:24:00,72
2018-09-29 19:25:00,77
2018-09-29 19:26:00,64
2018-09-29 19:27:00,65
2018-09-29 19:28:00,73
2018-09-29 19:29:00,74
2018-09-29 19:30:00,69
2018-09-29 19:31:00,67
2018-09-29 19:32:00,69
2018-09-29 19:33:00,65
2018-09-29 19:34:00,78
2018-09-29 19:35:00,67
